index,GEO_ID
324,DP05_0076PM
325,DP05_0077E
326,DP05_0077M
327,DP05_0077PE
328,DP05_0077PM
329,DP05_0078E
330,DP05_0078M
331,DP05_0078PE
332,DP05_0078PM
333,DP05_0079E
334,DP05_0079M
335,DP05_0079PE
336,DP05_0079PM
337,DP05_0080E
338,DP05_0080M
339,DP05_0080PE
340,DP05_0080PM
341,DP05_0081E
342,DP05_0081M
343,DP05_0081PE
344,DP05_0081PM
345,DP05_0082E
346,DP05_0082M
347,DP05_0082PE
348,DP05_0082PM
349,DP05_0083E
350,DP05_0083M
351,DP05_0083PE
352,DP05_0083PM
353,DP05_0084E
354,DP05_0084M
355,DP05_0084PE
356,DP05_0084PM
357,DP05_0085E
